id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1414139,"Zespół Placówek Oświatowych w Krzczonowie, Krzczonów 82, 32-435 Krzczonów",751,149,1477714,247,270
1414141,"Szkoła Podstawowa Nr 1 w Tokarni, Tokarnia 379, 32-436 Tokarnia",625,130,1477716,19,228
1414151,"Gminny Ośrodek Kultury i Sportu w Wiśniowej, Wiśniowa 320, 32-412 Wiśniowa",612,135,1477726,51,251
1414159,"Szkoła Podstawowa, Marcinkowice 132, 33-393 Marcinkowice",426,99,1477754,247,59
1414164,"Szkoła Podstawowa, Paszyn 410, 33-326 Mogilno",462,66,1477756,387,65
1414173,"Szkoła Podstawowa, Wielogłowy 56, 33-311 Wielogłowy",350,97,1477737,337,40
1414178,"Szkoła Podstawowa, Trzetrzewina 193, 33-395 Chełmiec",546,46,1477733,281,48
1414185,"Szkoła Podstawowa im. Jana Pawła II, Podole-Górowa 158, 33-318 Gródek nad Dunajcem",380,59,1477768,344,41
1414192,"Zespół Szkolno – Przedszkolny, Biała Niżna 495, 33-330 Grybów",765,147,1477770,269,259
1414197,"Zespół Szkolno – Przedszkolny, Kąclowa 280, 33-330 Grybów",862,40,1477775,317,73
1414202,"Dom Kultury, Siołkowa 35, 33-330 Grybów",656,78,1477780,92,135
1414204,"Zespół Szkolno – Przedszkolny, Stróże 396, 33-331 Stróże",611,224,1477782,70,367
1414217,"Urząd Gminy, Korzenna 325, 33-322 Korzenna",720,89,1477795,225,225
1414260,"Szkoła Podstawowa, Zagorzyn 172, 33-390 Łącko",672,61,1477840,75,110
1414265,"Zespół Szkolno – Przedszkolny, Łącko 284, 33-390 Łącko",501,156,1477841,329,91
1414270,"Szkoła Podstawowa im. mjra pil. Jerzego Iszkowskiego, ul. św. Floriana 20, 33-312 Tęgoborze",765,123,1477850,203,253
