id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1406474,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",279,631,1469594,536,19
1406475,"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław",214,501,1469588,544,129
1406476,"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław",258,671,1469588,544,129
1406476,"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław",258,671,1469589,473,639
1406476,"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław",258,671,1469649,438,574
1406477,"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław",269,373,1469588,544,129
1406478,"Zespół Szkolno-Przedszkolny nr 14, ul. Częstochowska 42, 54-031 Wrocław",272,703,1469590,578,202
1406478,"Zespół Szkolno-Przedszkolny nr 14, ul. Częstochowska 42, 54-031 Wrocław",272,703,1469591,439,633
1406479,"Zespół Szkolno-Przedszkolny nr 14, ul. Częstochowska 42, 54-031 Wrocław",264,413,1469590,578,202
1406480,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",289,570,1469593,505,0
1406480,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",289,570,1469594,536,19
1406481,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",219,548,1469593,505,0
1406481,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",219,548,1469594,536,19
1406482,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",282,665,1469593,505,0
1406482,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",282,665,1469594,536,19
1406483,"Dolnośląski Specjalny Ośrodek Szkolno-Wychowawczy nr 13 dla Uczniów Niewidomych i Słabowidzących oraz z innymi niepełnosprawnościami im. Marii Grzegorzewskiej we Wrocławiu, ul. Kamiennogórska 16, 54-034 Wrocław",226,484,1469595,504,25
1406484,"Zespół Szkolno-Przedszkolny nr 12, ul. Lubelska 95a, 54-101 Wrocław",235,617,1469596,431,114
